Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
52925,B-BEDS,,Bakalářský,prezenční,29. 10. 2021,,ne,Tbilisi,Gruzie,20,20 - Nepřijat -- PZ,,ne,212615,Environmental Data Science,žena
84379,B-BEE,,Bakalářský,prezenční,15. 04. 2022,0,ne,Klodzko,Polská republika,10,10 - Přijat,,ne,238435,Environmental Engineering,muž
76728,B-BEE,,Bakalářský,prezenční,29. 03. 2022,10000,ano,Čelákovice,Česká republika,10,10 - Přijat,04.10.2022,ano,236346,Environmental Engineering,muž
28854,N-ENVA,,Magisterský navazující,prezenční,26. 02. 2022,16500,ano,Eldoret,Keňská republika,10,10 - Přijat,,ne,231753,Environmental Modelling,žena
84505,N-LPA,,Magisterský navazující,prezenční,17. 04. 2022,0,ne,Thessaloniki,Řecká republika,10,10 - Přijat,,ne,237279,Landscape Planning,žena
74810,B-BEE,,Bakalářský,prezenční,28. 03. 2022,0,ne,Kladno (Rozdělov),Česká republika,10,10 - Přijat,,ne,236347,Environmental Engineering,muž
84537,N-ENVA,,Magisterský navazující,prezenční,17. 04. 2022,,ne,Douala-Cameroon,Kamerunská republika,20,20 - Nepřijat -- PZ,,ne,237295,Environmental Modelling,žena
56502,N-LPA,,Magisterský navazující,prezenční,03. 01. 2022,,ne,"Sector mu 2 ,",Indická republika,20,20 - Nepřijat -- PZ,,ne,213865,Landscape Planning,muž
53468,N-LPA,,Magisterský navazující,prezenční,17. 11. 2021,16500,ano,MEHRAULI NEW DELHI INDIA PIN-110030,Indická republika,10,10 - Přijat,22.09.2022,ano,213138,Landscape Planning,muž
58280,N-LPA,,Magisterský navazující,prezenční,14. 01. 2022,,ne,SENT PETER CAMPUS BIRSA CHOWK RANCHI JHARKHAND,Indická republika,20,20 - Nepřijat -- PZ,,ne,214017,Landscape Planning,muž
82854,N-ENVA,,Magisterský navazující,prezenční,02. 04. 2022,,ne,"Jalandhar, Punjab, India",Indická republika,20,20 - Nepřijat -- PZ,,ne,236310,Environmental Modelling,muž
84114,N-NCO,,Magisterský navazující,prezenční,12. 04. 2022,,ne,kithana jhunjhunu rajasthan,Indická republika,20,20 - Nepřijat -- PZ,,ne,237202,Nature Conservation,žena
59419,B-BEE,,Bakalářský,prezenční,22. 01. 2022,10000,ano,Istanbul,Turecká republika,10,10 - Přijat,21.09.2022,ano,213460,Environmental Engineering,muž
63870,N-ENVA,,Magisterský navazující,prezenční,17. 03. 2022,,ne,Accra,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,231754,Environmental Modelling,muž
59620,B-BEDS,,Bakalářský,prezenční,23. 01. 2022,,ne,Accra,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,213901,Environmental Data Science,muž
33540,B-BEDS,,Bakalářský,prezenční,28. 02. 2022,,ne,Accra,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,230627,Environmental Data Science,muž
61338,B-BEE,,Bakalářský,prezenční,15. 03. 2022,,ne,"Bangkok, Thailand",Thajské království,20,20 - Nepřijat -- PZ,,ne,230628,Environmental Engineering,muž
94303,B-BEDS,,Bakalářský,prezenční,22. 07. 2022,0,ne,Znamianka,Ukrajina,10,10 - Přijat,,ne,244116,Environmental Data Science,muž
59406,N-NCO,,Magisterský navazující,prezenční,21. 01. 2022,,ne,Minsk,Běloruská republika,20,20 - Nepřijat -- PZ,,ne,213988,Nature Conservation,žena
82294,B-BEE,,Bakalářský,prezenční,31. 03. 2022,0,ne,Stráž nad Nisou,Česká republika,10,10 - Přijat,,ne,236348,Environmental Engineering,muž
84557,N-NCO,,Magisterský navazující,prezenční,17. 04. 2022,,ne,"Ilorin, Kwara State.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,237203,Nature Conservation,muž
90456,B-BEDS,,Bakalářský,prezenční,16. 06. 2022,0,ano,Bila Tserkva,Ukrajina,10,10 - Přijat,,ne,240875,Environmental Data Science,muž
52908,B-BEE,,Bakalářský,prezenční,28. 10. 2021,10000,ano,Guatemala City,Guatemalská republika,10,10 - Přijat,29.09.2022,ano,211826,Environmental Engineering,žena
55747,B-BEDS,,Bakalářský,prezenční,22. 12. 2021,10000,ano,Praha,Česká republika,10,10 - Přijat,21.09.2022,ano,214157,Environmental Data Science,žena
60137,B-BEE,,Bakalářský,prezenční,24. 01. 2022,,ne,Tallinn,Estonská republika,20,20 - Nepřijat -- PZ,,ne,214675,Environmental Engineering,žena
52664,B-BEDS,,Bakalářský,prezenční,11. 10. 2021,,ne,Kilwa - Tanzania,Sjednocená republika Tanzanie,20,20 - Nepřijat -- PZ,,ne,212616,Environmental Data Science,muž
57876,B-BEDS,,Bakalářský,prezenční,12. 01. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,213151,Environmental Data Science,žena
58888,B-BEDS,,Bakalářský,prezenční,18. 01. 2022,,ne,Dubai,Spojené arabské emiráty,20,20 - Nepřijat -- PZ,,ne,214025,Environmental Data Science,muž
53959,N-EGS,,Magisterský navazující,prezenční,25. 11. 2021,,ne,Ibadan,Ostatní,20,20 - Nepřijat -- PZ,,ne,211491,Environmental Geosciences,muž
18679,N-EGS,,Magisterský navazující,prezenční,23. 02. 2022,,ne,Ibadan,Ostatní,20,20 - Nepřijat -- PZ,,ne,232380,Environmental Geosciences,muž
57977,N-ENVA,,Magisterský navazující,prezenční,12. 01. 2022,16500,ano,Baku/Surakhani,Ázerbájdžánská republika,10,10 - Přijat,27.09.2022,ano,213178,Environmental Modelling,muž
